My Blue Heaven,Henry Koster,"Betty Grable, Dan Dailey, Jane Wyatt",Comedy,20th Century Fox
My Friend Irma Goes West,Hal Walker,"Dean Martin, Jerry Lewis",Comedy,"Paramount. Sequel to My Friend Irma, 2nd Martin and Lewis film"
Mystery Street,John Sturges,"Ricardo Montalbán, Sally Forrest",Film noir,MGM
Mystery Submarine,Douglas Sirk,"Macdonald Carey, Märta Torén",Drama,Universal
Nancy Goes to Rio,Robert Z. Leonard,"Ann Sothern, Jane Powell",Musical,MGM. Remake of 1940's It's a Date
The Nevadan,Gordon Douglas,"Randolph Scott, Dorothy Malone",Western,Columbia
Never a Dull Moment,George Marshall,"Irene Dunne, Fred MacMurray",Comedy,RKO. Based on a 1943 novel
The Next Voice You Hear...,William A. Wellman,"James Whitmore, Nancy Davis",Drama,MGM
Night and the City,Jules Dassin,"Richard Widmark, Gene Tierney, Hugh Marlowe, Googie Withers",Film noir,20th Century Fox
No Man of Her Own,Mitchell Leisen,"Barbara Stanwyck, John Lund",Film noir,Paramount. Remade in 1996 as Mrs. Winterbourne
North of the Great Divide,William Witney,"Roy Rogers, Penny Edwards",Western,Republic
No Sad Songs for Me,Rudolph Maté,"Margaret Sullavan, Wendell Corey",Drama,Columbia; Sullavan's final film
No Way Out,Joseph L. Mankiewicz,"Richard Widmark, Linda Darnell",Film noir,20th Century Fox. Film debut of Sidney Poitier; Remake of 1987 film
The Old Frontier,Philip Ford,"Monte Hale, Claudia Barrett",Western,Republic
On the Isle of Samoa,William Berke,"Jon Hall, Susan Cabot",Adventure,Columbia
Once a Thief,W. Lee Wilder,"Cesar Romero, June Havoc",Film noir,United Artists
One Too Many,Erle C. Kenton,"Ruth Warrick, Richard Travis",Drama,Independent
One Way Street,Hugo Fregonese,"James Mason, Märta Torén",Film noir,Universal
Operation Haylift,William Berke,"Bill Williams, Ann Rutherford",Drama,Lippert
Our Very Own,David Miller,"Ann Blyth, Farley Granger",Drama,RKO
Outcast of Black Mesa,Ray Nazarro,"Charles Starrett, Martha Hyer",Western,Columbia
Outlaw Gold,Wallace Fox,"Johnny Mack Brown, Jane Adams",Western,Monogram
Outlaws of Texas,Thomas Carr,"Whip Wilson, Andy Clyde, Phyllis Coates",Western,Monogram
Outrage,Ida Lupino,"Mala Powers, Tod Andrews",Film noir,RKO
The Outriders,Roy Rowland,Joel McCrea,Western,MGM
Outside the Wall,Crane Wilbur,"Richard Basehart, Marilyn Maxwell",Film noir,Universal
Over the Border,Wallace Fox,"Johnny Mack Brown, Wendy Waldron, Myron Healey",Western,Monogram
Paid in Full,William Dieterle,"Robert Cummings, Lizabeth Scott, Diana Lynn, Eve Arden",Drama,Paramount
Pagan Love Song,Robert Alton,"Esther Williams, Howard Keel, Rita Moreno",Musical,MGM
The Palomino,Ray Nazarro,"Jerome Courtland, Beverly Tyler",Western,Columbia
Panic in the Streets,Elia Kazan,"Richard Widmark, Paul Douglas",Film noir,20th Century Fox. Shot in New Orleans
Peggy,Frederick de Cordova,"Diana Lynn, Charles Coburn",Comedy,Universal
Perfect Strangers,Bretaigne Windust,"Ginger Rogers, Dennis Morgan",Drama,Warner Bros.
The Petty Girl,Henry Levin,"Robert Cummings, Joan Caulfield",Romantic comedy,Columbia
Please Believe Me,Norman Taurog,"Deborah Kerr, Robert Walker, Mark Stevens, Peter Lawford",Romantic comedy,MGM
Prehistoric Women,Gregg C. Tallas,"Laurette Luez, Allan Nixon",Science fiction,Eagle-Lion. Remade in 1967
Pretty Baby,Bretaigne Windust,"Dennis Morgan, Betsy Drake",Comedy,Warner Bros.
Prisoners in Petticoats,Philip Ford,"Robert Rockwell, Danni Sue Nolan",Crime,Republic
Pygmy Island,William Berke,"Johnny Weissmuller, Ann Savage",Adventure,Columbia
Quicksand,Irving Pichel,"Mickey Rooney, Peter Lorre",Film noir,United Artists
Radar Secret Service,Sam Newfield,"John Howard, Adele Jergens",Action,Lippert
Raiders of Tomahawk Creek,Fred F. Sears,"Charles Starrett, Smiley Burnette",Western,Columbia
Redwood Forest Trail,Philip Ford,"Rex Allen, Jeff Donnell",Western,Republic
The Reformer and the Redhead,"Melvin Frank, Norman Panama","June Allyson, Dick Powell",Comedy,MGM
Return of the Frontiersman,Richard L. Bare,"Gordon MacRae, Julie London",Western,Warner Bros.
The Return of Jesse James,Arthur Hilton,"John Ireland, Ann Dvorak",Western,Lippert
Revenue Agent,Lew Landers,"Lyle Talbot, Jean Willes",Crime,Columbia
Rider from Tucson,Lesley Selander,"Tim Holt, Veda Ann Borg",Western,RKO
Riding High,Frank Capra,"Bing Crosby, Coleen Gray",Comedy,MGM. Remake of 1934's Broadway Bill.
Right Cross,John Sturges,"June Allyson, Dick Powell, Ricardo Montalbán",Drama,MGM. Marilyn Monroe in small role
Rio Grande,John Ford,"John Wayne, Maureen O'Hara",Western,Republic; based on story Mission With No Record; Remake of 1938 film
Rio Grande Patrol,Lesley Selander,"Tim Holt, Cleo Moore",Western,RKO
